page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1645,0,氯丁替诺(镇咳药),Clobutinol,T48.3,X44.-,X64.-,Y14.-,Y55.3
1645,0,氯二甲酚(消毒防腐剂),Chloroxylenol,T49.0,X44.-,X64.-,Y14.-,Y56.0
1645,0,氯二甲箭毒,Dimethyltubocurarinium,T48.1,X44.-,X64.-,Y14.-,Y55.1
1645,0,氯二乙基苯甲酰胺,Chlordiethyl benzamide,T49.3,X44.-,X64.-,Y14.-,Y56.3
1645,0,氯法齐明(抗麻风、抗结核药),Clofazimine,T37.1,X44.-,X64.-,Y14.-,Y41.1
1645,0,氯仿(烟雾)(蒸气),Chloroform (fumes)(vapor),T53.1,X46.-,X66.-,Y16.-,
1645,1,麻醉剂,anesthetic,T41.0,X44.-,X64.-,Y14.-,Y48.0
1645,1,溶剂,solvent,T53.1,X46.-,X66.-,Y16.-,
1645,1,水剂，浓缩的,"water, concentrated",T41.0,X44.-,X64.-,Y14.-,Y48.0
1645,0,氯非那胺(利尿剂),Clofenamide,T50.2,X44.-,X64.-,Y14.-,Y54.5
1645,0,氯非那明,Clorfenamine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1645,0,氯非尼腊明 - 现译名 氯苯那敏,Chlorpheniramine,T45.0,X44.-,X64.-,Y14.-,Y43.0
1645,0,氯非宗(抗炎镇痛药),Clofezone,T39.2,X40.-,X60.-,Y10.-,Y45.3
1645,0,氯芬磷(杀虫药),Chlorfenvinphos,T60.0,X48.-,X68.-,Y18.-,
1645,0,氯酚,Chlorophenol,T53.7,X46.-,X66.-,Y16.-,
1645,0,氯氟氰菊酯(杀虫药),Cyhalothrin,T60.1,X48.-,X68.-,Y18.-,
1645,0,氯氟舒松[哈西奈德](肾上腺,"Halcinonide, Halcinolone",T49.0,X44.-,X64.-,Y14.-,Y56.0
1645,0,氯氟碳,Chlorofluorocarbons,T53.5,X46.-,X66.-,Y16.-,
1645,0,氯氟草乙酯(抗焦虑药),Ethyl loflazepate,T42.4,X41.-,X61.-,Y11.-,Y47.1
1645,0,氯福雷司(食欲抑制药),Cloforex,T50.5,X44.-,X64.-,Y14.-,Y57.0
1645,0,氯汞君(利尿剂),Chlormerodrin,T50.2,X44.-,X64.-,Y14.-,Y54.5
1645,0,氯胍(抗疟药),Proguanil,T37.2,X44.-,X64.-,Y14.-,Y41.2
1645,0,氯琥珀胆碱-现译名琥珀胆碱,Suxamethonium (chloride),T48.1,X44.-,X64.-,Y14.-,Y55.1
1645,0,氯化物,Chlorinated,,,,,
1645,1,联苯,diphenyl,T53.7,X49.-,X69.-,Y19.-,
1645,1,萘,naphthalene,T60.1,X48.-,X68.-,Y18.-,
1645,1,杀虫药NEC,pesticide NEC,T60.8,X48.-,X68.-,Y18.-,
